"GOOG.Open","GOOG.High","GOOG.Low","GOOG.Close","GOOG.Volume","GOOG.Adjusted"
901.94,915.68,901.45,912.570007,2116000,912.570007
909.62,920.77,909.453,916.440002,1587200,916.440002
914.86,928.1,912.543,927.039978,1499500,927.039978
926.07,935.93,924.59,931.659973,1422100,931.659973
933.54,934.9,925.2,927.130005,1911300,927.130005
926.12,936.925,925.26,934.299988,1329800,934.299988
936.95,937.5,929.53,932.169983,1581800,932.169983
931.98,932,925.16,928.780029,1173900,928.780029
925.32,932.53,923.03,930.599976,835000,930.599976
931.53,933.44,927.85,932.219971,1050600,932.219971
932.95,938.25,929.34,937.080017,1108100,937.080017
940,943.11,937.58,943,969500,943
935.67,939.333,918.14,919.619995,2362100,919.619995
921,933.17,918.75,930.23999,1596900,930.23999
931.47,937.755,931,934.01001,1393000,934.01001
935,941.883,935,941.859985,1120400,941.859985
947.92,951.467,942.575,948.820007,1270800,948.820007
952.98,955.09,949.5,954.960022,1024800,954.960022
957.33,972.629,955.47,969.539978,1660500,969.539978
969.7,974.98,965.03,971.469971,1252000,971.469971
